"Symbol_ID"	"Ensembl_ID"
"ACVRL1"	"ENSG00000139567"
"AR"	"ENSG00000169083"
"ARID1A"	"ENSG00000117713"
"ASNS"	"ENSG00000070669"
"ATM"	"ENSG00000149311"
"AXL"	"ENSG00000167601"
"BAX"	"ENSG00000087088"
"BCL2"	"ENSG00000171791"
"BCL2A1"	"ENSG00000140379"
"BID"	"ENSG00000015475"
"BRAF"	"ENSG00000157764"
"BRCA2"	"ENSG00000139618"
"CDK1"	"ENSG00000170312"
"DUSP4"	"ENSG00000120875"
"DVL3"	"ENSG00000161202"
"EEF2"	"ENSG00000167658"
"EEF2K"	"ENSG00000103319"
"EEF2K"	"ENSG00000284161"
"EGFR"	"ENSG00000146648"
"EIF4E"	"ENSG00000151247"
"ENY2"	"ENSG00000120533"
"ERCC1"	"ENSG00000012061"
"ERCC5"	"ENSG00000134899"
"ETS1"	"ENSG00000134954"
"FASN"	"ENSG00000169710"
"FOXM1"	"ENSG00000111206"
"G6PD"	"ENSG00000160211"
"GAB2"	"ENSG00000033327"
"GAPDH"	"ENSG00000111640"
"GATA3"	"ENSG00000107485"
"INPP4B"	"ENSG00000109452"
"IRF1"	"ENSG00000125347"
"IRS1"	"ENSG00000169047"
"JAK2"	"ENSG00000096968"
"LCK"	"ENSG00000182866"
"MSH2"	"ENSG00000095002"
"MTOR"	"ENSG00000198793"
"MYH11"	"ENSG00000133392"
"MYH11"	"ENSG00000276480"
"NF2"	"ENSG00000186575"
"NOTCH1"	"ENSG00000148400"
"NRAS"	"ENSG00000213281"
"PARP1"	"ENSG00000143799"
"PCNA"	"ENSG00000132646"
"PDCD4"	"ENSG00000150593"
"PDK1"	"ENSG00000152256"
"PEA15"	"ENSG00000162734"
"PRDX1"	"ENSG00000117450"
"PREX1"	"ENSG00000124126"
"PTEN"	"ENSG00000171862"
"PTEN"	"ENSG00000284792"
"RAD50"	"ENSG00000113522"
"RAD51"	"ENSG00000051180"
"RICTOR"	"ENSG00000164327"
"SLC1A5"	"ENSG00000105281"
"SMAD1"	"ENSG00000170365"
"SMAD3"	"ENSG00000166949"
"SMAD4"	"ENSG00000141646"
"SRC"	"ENSG00000197122"
"SYK"	"ENSG00000165025"
"TAZ"	"ENSG00000102125"
"TFRC"	"ENSG00000072274"
"TSC1"	"ENSG00000165699"
"XBP1"	"ENSG00000100219"
"XRCC1"	"ENSG00000073050"
